tweet,location,Airline,Class
الطابور في مطار اسطنبول علي طيران ناس كان فوضي ولا يوجد منظمين ولا مشرفين العفش الذي يحمل علي الطاءره من بعض الركاب عفش شاحنه وليس طياره ورغم ذلك يتم شحنه لا يوجد مشرف علي المحطه وكل يعمل علي هواه,Riyadh,Fly Nas,Negative
لاسف طيران ناس خدماته جدا سيءه و كراسي الجلوس غير مريحه و ضيقه جدا و لو ادركها ابو حنيفه لم يان له…,المملكة العربية السعودية,Fly Nas,Negative
"هي ما جات علي مويه يادكتور 
طيران ناس من اسواء ما تعاملت معاها 
خدمات سيءه من جميع النواحي الي ابعد الحدود 
حتي تقديم الوجبات وبمقابل من اسواء ما رات عيني",مكة المكرمة,Fly Nas,Negative
لاسف طيران ناس خدماته جدا سيءه و كراسي الجلوس غير مريحه و ضيقه جدا و لو ادركها ابو حنيفه لم يان له ان يمد رجليه,,Fly Nas,Negative
"الرد عندهم الي لاسف شركه سيءه لغايه ولا يمكن التعامل معهم مره اخري
اسوءطيرانفلايناس",,Fly Nas,Negative
"فعلا ضيعوا علينا ٣ تذاكر ولا يوجد تعويض
اسوءطيرانفلايناس",,Fly Nas,Negative
حجزنا لبراغ مباشره دون توقف لعلم كان طيران القطري وقتها اقل سعر من طيران ناس وافضل خدمه ولا يحاسبك علي شنطه او وجبه واخترنا طيران ناس فقط انه دايركت وقبل الرحله كم اسبوع اضافو توقف وتاخير لرحله ١ ساعه استغفال لعميل بعد ضمان حجزهم اضافو توقف حسبي اله,,Fly Nas,Negative
فلاي ناس اسوا طيران امس نيكي واليكس وصوفيا ضاعت شناطهم واليوم جوش,Almadinah Almunawarah ,Fly Nas,Negative
الهم عليك ب طيران ناس, Riyadh - حايل هي لنا دار 💙,Fly Nas,Negative
"شكرا لكم طيران ناس 
اول حاجه تسونها صح","Irvine, CA",Fly Nas,Positive
شكرا طيران ناس من لهذه الفته لطيار خدم معكم ١٢ سنه لفته كريمه تدل ع القياده الفعاله لخدمه الطيارين لان مثل يكون دافع معنوي لكل طيارين هذه الشركه لم نري تكريم صراحه من خطوط اخري خذه الفتات لطيارين عملو معهم سنين طويله وامل موضوع هذه الفته لموضوع شكاوي وتبرم شكرا ناس,,Fly Nas,Positive
السلام عليكم تم عودتي الي الرياض من مطار القاهره الدولي علي رحله طيران ناس رقم وحصلت اضرار بالشنطه عباره عن خدش قوي وكسر في احدي الكفرات والواضح انه كسر بسب الاهمال اطالب بالتعويض لان الشنطه غاليه الثمن,,Fly Nas,Negative
بكل بساطه سافرت علي طيران ناس ولاسف رحلتي كانت لجورجيا وطبعا اوصل جورجيا والشنطه مفقوده فين محد عارف وبعدها ب ٣ ايام بلغوني الشنطه وصلت دبي ماعرف ليش طلبت تجي علي جورجيا بعدها ب ٤ ايام وصلت جورجيا وطبعا انا انتهت رحلتي ورجعت جده والشنطه لسا في جورجيا,Jeddah,Fly Nas,Negative
وش هالهبل الولد متبهذل وتضيع شناطه بعد اله يفشلكم ياطيران ناس كله من سايمون القعيطي مسفرهم في طيران ناس الزفت,NU.AG,Fly Nas,Negative
ابغي اقدم شكوي تاخرت رحله طيران ناس ساعتين ونصف بدون تعويض,Kingdom of Saudi Arabia,Fly Nas,Negative
اله يسعدكم بغض النظر عن الاسعار ايهم افضل طيران ناس او طيران اديل,,Fly Nas,Nutral
هل يعقل رحله من تركيا لرياضواكثر شنط شحن لم تصل … اين الخل ولاهو هو جديد عليكم …طيراناس,,Fly Nas,Negative
اله ياخذ طيران ناس محيه تاخير قسم,,Fly Nas,Negative
"اسوء شركه واسوء موظفين يتعاملون مع الناس بلا ادميه
اسوءطيرانفلايناس",,Fly Nas,Negative
"الطيران الوحيد الذي اسافر معه وانا مرتاح
طواقم العمل لديهم مايخبصون ويدخلون اشخاص من معارفهم مكانك اذا تاخرت ٣ دقاءق بعد فتح البوابه مثل موظفي اقدم خطوط جويه لاسف

طيراناس انتم الاجمل واستمروا الي الافضل",بلاد الحرمين,Fly Nas,Positive
"راءع يستحق اله يعطيه العافيه باين انه شخص طيب و محبوب 
مو غريبه علي طيران ناس هذه الفته الجميله",,Fly Nas,Positive
"اعجبتني حفاوه الاستقبال وشي غير مستغرب من طيران ناس ومن دواعي سروري اني كنت متواجدا ضمن الرحله 
لكن المقاعد لم تكن مريحه ابدا تقبلوا انتقادي",Riyadh,Fly Nas,Positive
وش هالشركه الي ماترد علي عملاءها جمعه وسبت كيف ورحلتكم تاجلت و زود عليها رافض اصدر بطاقه الصعود طيراناس,المملكة العربية السعودية,Fly Nas,Negative
لا الواتساب تردون و لا ايميلات ولا هنا طيران ناس,المملكة العربية السعودية,Fly Nas,Negative
انا بتاريخ ١٦ من شهر ١٠ لعام ٢٠٢توجهت لوكاله سفريات الشافعي بسيهات احدي مدن الشرقيه بمحافظه القطيف لحجز ٦ مقاعد طيران من الدمام الي جده وتم عمل الحجز وتاكيده بتمام الساعه ٢٠ وبعد خصم المبلغ من بطاقه الصراف الخاصه بي تم عطل فني بموقع الخطوط ناس ولاسف لم تصدر لي تذاكر سفر,,Fly Nas,Negative
يستحق التقدير والاحترام ولفته طيبه من طيران ناس,,Fly Nas,Positive
ابشرك طيران ناس,Hijaz,Fly Nas,Nutral
"تم حجز تذكره علي متن خطوط طيران ناس وتم السداد لقيمه التذكره 

بعد السداد في موقعكم وخصم المبلغ لم يتم ارسال رقم الحجز لرحله
وتم التواصل معكم علي الرقم اليوم صباحا ولخ يتم حل المشكله 
رحلتي محجوزه غدا بتاريخ 

فضلا حل هذا الوضع لضروره القصوي",traveler,Fly Nas,Negative
احجز علي طيران اديل او ناس اسعارهم معقوله,المملكة العربية السعودية,Fly Nas,Positive
طيراناس هل يعقل رحله من تركيا لرياضواكثر شنط شحن لم تصل … اين الخل ولاهو هو جديد عليكم …,,Fly Nas,Negative
طيران ناس ياسلام باص روضه له جنحان,"الخرج, المملكة العربية السعودية",Fly Nas,Negative
كلها نفس بعض وحتي سياسه الاسترجاع يبقي رصيدفلاي اديل تعطي وزن ٢٥كيلو و٧كيلو داخل الطيارهطيران ناس ٢٠كيلو و٧كيلو داخل الطيارهوداءما فلاي اديل ارخص من ناحيه الاسعار,الرياض,Fly Nas,Negative
انصح بحكم تجربه طيران ناس يازينهم,,Fly Nas,Positive
لا طيران ناس افضل واله اديل مو راضين يدخلون شنطه صغيره اقل من كيلو الين طارت الطياره ورجعت حجزت مع طيران ناس اقسم باله انهم افضل,,Fly Nas,Positive
طيران ناس ليش الاطفال الرضع منوع,,Fly Nas,Nutral
اله يعين …نحن العسكر نعاني منهم في جيزان من طيران ناس واديل اسوي شركات لاسف يتم الغاء الرحله اذا لم ي…,,Fly Nas,Negative
"اسوء شركه طيران

الغاء رحلات تاخير رحلات 

نصيحه اختاروا اي شركه الا ناس",,Fly Nas,Negative
"السلام عليكم 
شركه طيران ناس الغت لي رحلتين قبل اكثر من ٦ شهور ودافعه علي التذكرتين مع التعديل فوق الفين ريال والحي…",,Fly Nas,Negative
اسوء شركه طيران ناس لاسف,,Fly Nas,Negative
يا ويل القاءمين علي طيران ناس من اله كيف تقابلون اله يوم القيامه بحقوق الناس ترخصون التذا…,,Fly Nas,Negative
ناس دي اقذر شركه طيران مكن تحجز عليها,,Fly Nas,Negative
طيارين طيران ناس,,Fly Nas,Nutral
"طيران الخليج 
 طيران ناس","رابغ, المملكة العربية السعودية",Fly Nas,Positive
الخطوط السعوديه طيران ناس,,Fly Nas,Nutral
ايوه طيران ناس سعودي هو,,Fly Nas,Nutral
طيران ناس اخذوا فلوس الرحله والغوها علي اش الحل معكم,,Fly Nas,Negative
"الاحتفاء والتقدير المقدم من 



سواء لكابتن جمال او اي موظف عمل بها دليل علي وفاء هذه الشركه بالعاملين بها وتقديرا لعطاءهم المقدم خلال مسيرتهم العمليه
شكرا طيران ناس",المملكة العربية السعودية,Fly Nas,Positive
يخوان في رحله لطيران ناس حجزتها عن طريق طيران ثاني وحاب اشتري وزن وماني قادر,,Fly Nas,Negative
مافيش غير طيران ناس وحسبي اله ونعم الوكيل,,Fly Nas,Negative
طيران ناس,,Fly Nas,Positive
احذركم من فلاي ناس اسوء طيران استخدمته في حياتي حجزت بقيمه المقاعد وعدلت ودفعت قيمه المقاعد مره ثانيه طبعا اول مقعد بالطياره في الصوره طلع في الواقع ثالث صف غير كذا تنزل بالصالات السيءه باي مطار ولا عندهم صيانه لاسطولهم ابد حمل وشغل,,Fly Nas,Negative
طيران النيل واسوء وحده كانت ناس مشكلتي كانت مع الكرسي بعد الرحله ظهري مكسر,In knowhere,Fly Nas,Negative
"رحلتي مع طيران ناس وهو الخيار المفضل لرحلاتي القادمه دقه في المواعيد وجهات سفر متعده 
شكرا طيران ناس",,Fly Nas,Positive
طيران ناس اسوا طيران,المملكة العربية السعودية,Fly Nas,Negative
اسوء طيران في العالم تعاملهم مع الركاب خاصه النساء وكبار السن غير انساني وغير محترم طيراناس,,Fly Nas,Negative
اكيد شامل التذكره مو زي طيران ناس تدفع حق الاكل,المملكة العربية السعودية,Fly Nas,Negative
انا مره وحده ركبت طيران ناس من حتي من سراحه زفت,,Fly Nas,Negative
"ه
هذي شركه طيران ناس",,Fly Nas,Nutral
"السلام عليكم 
عندي رصيد سابق في طيران ناس قيمته ريال تنتهي صلاحيته لرقم الحجز 
والان لا يوجد عندي سفر 
هل من المكن تجديد صلاحيه الرصيد لمده سنه جديده وشكرا","İstanbul, Türkiye",Fly Nas,Nutral
سيءه توازي خدمات طيران ناس انا اتحدث عن الخدمه والمقاعد داخل الطاءره,,Fly Nas,Negative
طيران ناس وفلايديل الطياره ما جت الحمد له المطار كان مره حلو,قبر غاندي🔥,Fly Nas,Nutral
طيران ناس ه,Argentina,Fly Nas,Nutral
طيران ناس متاز يعطيك تصبيره جبن,,Fly Nas,Positive
"لو قلت اسعارهم مرتفعه انا معك في النقطه هذي

ولكن بالنسبه لاكل والشرب هم يعتبرون طيران اقتصادي مثل طيران ناس وباقي الشركات الاقتصاديه","Baden-Baden, Deutschland",Fly Nas,Positive
هو اصلا طيران اقتصادي زي اديل وفلاي ناس لا توقع شي واو,"Tabuk, Kingdom of Saudi Arabia",Fly Nas,Nutral
"مدري فيه تعويض والا مافيه
اول ما يقول الواحد رحلتي تاخرت لساعات
مباشره يجي في بالك طيران ناس 
بدون ترد",,Fly Nas,Negative
بعدما تاخرنا لاكثر من ساعتين في طيران ناس وتغيرت البوابات لاربع مرات بعضها بلا نداء ثم لم يعتذر لركاب لو مجامله …,,Fly Nas,Negative
طيران ناس كم اثلجتم صدري وخفت علي الم التقاعد شكرا لتقديركم,Saudi Arabia 🇸🇦,Fly Nas,Positive
نعم طيران ناس فاشل اتمنا تغير الاداره الفاشله من راس الهرم شبعوا فلوس خلاص,,Fly Nas,Negative
طيران ناس انحش عنه,,Fly Nas,Negative
طيرتهم فاضيه من الرياض ماحصلو ركاب المعاناه نفسها استاذ يحي لعموم سكان المنطقه من طيران ناس وا اديل لذلك لا تعتمد عليها خاصه اذا عندك مواعيد,,Fly Nas,Negative
"غثي
غيري الشركه عقاب لها خليها طيران ناس",جدّه وان جارت علي عزيزة,Fly Nas,Negative
"تم الرد تم الاتصال بكم
شكر خاص لموظفه نوره الغراس علي التوجيه السريع تم ايجاد الحقيبه بفضل اله وبفضل سرعه ردها ورحابتها شكرا نوره شكرا طيران ناس",,Fly Nas,Positive
"الحاقا لشكواي لطيران المدني علي طيران الناس والتي اوضحتها في تغردتين سابقتين وتفضلوا مشكورين بالاتصال بي 
وطلبوا رقم شكوي من ناس ومن ثم الاتصال بهم واعطاءهم رقم الشكوي تم ذلك ولكن لاسف بعد الاتصال عليهم كان ردهم ان علي الانتظار يوما بعدها ياخذون الرقم وكانك يابوزيد ماغزيت",المملكة العربية السعودية,Fly Nas,Negative
"شكرا طيران ناس علي الاحتفال بالكابتن جمال 
والكابتن جمال نتمني لك الصحه والعافيه والتوفيق وشكرا بحجم السماء و كل ميل قطعته فيها",المملكة العربية السعودية,Fly Nas,Positive
ياخساره ياكابتن ضاع الوفاء بعد ان رحل اهل الوفاء من مناصبهم اصحاب المهنه والخبره واتي من يجهل عمل شركه طيران عتيقه ضيعوا سنين العمر لجميع المهن بسهوله دون تقدير تحيه لطيران ناس التي احتضنت امثال هولاء الرواد,جده,Fly Nas,Positive
اله يعين …نحن العسكر نعاني منهم في جيزان من طيران ناس واديل اسوي شركات لاسف يتم الغاء الرحله اذا لم يكتمل العد اصعب شي ترتبط معهم وحسبي اله ونعم الوكيل عليهم شركه همها المال فقط والراكب في حريقه واله ياستاذ يحي هذي مشكله مالقينا لها حل ابدا والخطوط السعوديه غاليه جدا,"مكة المكرمة, المملكة العربية السعودية",Fly Nas,Negative
من لحين يحجز علي طيران ناس,,Fly Nas,Negative
و الان تم سحب المبلغ مرتين من حسابي لصالح طيران ناس و تاخير في الرحله ٦ ساعات قبل موعدها ب ١٥ ساعه و بدون اي مراعاه,Jeddah,Fly Nas,Negative
طيران ناس يتراقل, K S A,Fly Nas,Negative
طيران ناس من اسوا من كذا ماعرف لا طيران مدني يوقفهم ولا حاجه مبالغ تخصم ولا احدا يرد عليك لا رقم ٩٢٠ ولا ٨٠ افرضوا عليهم فروع لخدمه العملاء مثل السعوديه الواحد يقدر يروح عليهم في وسط المدينه من وجه نظري,جدة,Fly Nas,Negative
هذا الي يدور الرخيص وهذا طيران ناس من اعرف نفسي لاسف,"جدة, المملكة العربية السعودية",Fly Nas,Negative
"يا جماعه الخير انا ابغي ارفع شكوي علي طيران ناس مو علي المطار مايردون علي ولا يتواصلون ولا يتعاونون والموضوع له ١٢ يوم ارتفع ضغطي واضطريت احجز ب١٥٠ ريال بسب انهم الغو رحلتي وماعوضوني لا رحله ولا فلوس
مكن تفيدوني من فين ارفع شكوي علي طيران ناس وليس علي المطارات",,Fly Nas,Negative
"نصيحتي لا عاد تقرب من طيران ناس 
خصوصا اذا عندك موعد 
اشره طيران في اكل حقك وامطل طيران في اعطاءك حقوقك 

السعوديه اعز واشرف لك",,Fly Nas,Negative
مو جديده ع ناس طيران فاشل بمعني الكلمه,نجران,Fly Nas,Negative
طيراناس لا يحترمون الناس وهذا معلوم لجميع الناس,المملكة العربية السعودية,Fly Nas,Negative
الوفاء هو ما يصنع الولاء و طيران ناس عراب هذه الصنعه بامتياز وهو سر الروح العاءليه في هذا الصرح التفني الاسر,"Riyadh, Kingdom of Saudi Arabia",Fly Nas,Positive
اله لا يجعلني اضطر اسافر علي طيران ناس,,Fly Nas,Negative
كنت احجز فيها زمان والان لو جدت لهم اي رحله لا احجز عليها ابدا ولو كنت مضطر اذهب بالسياره سفر ١٠ ساعات ولا انتظر طيران ناس لديها خل فعلي يحتاج الانتباه والتحسين الجاد,,Fly Nas,Negative
"صح لسانك استاذ يحي
اصبت في استهتار طيران ناس بالمسافرين",.,Fly Nas,Negative
